,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
349,teya,75,MX,1560211825,66,21.05,-89.07,87.8,13.87
350,ketchikan,90,US,1560211825,93,55.34,-131.65,53.6,17.22
351,kruisfontein,1,ZA,1560211825,95,-34.0,24.73,50.5,2.1
352,kollam,90,IN,1560211825,88,8.88,76.6,78.8,4.7
353,noumea,90,NC,1560211826,88,-22.28,166.46,68.0,1.12
354,cockburn town,37,TC,1560211555,82,21.46,-71.14,82.13,15.12
355,soderhamn,51,SE,1560211826,92,61.3,17.06,51.01,5.93
356,puerto rondon,91,CO,1560211826,90,6.28,-71.1,73.36,3.89
357,pingyin,0,CN,1560211826,29,36.28,116.45,84.52,5.93
358,itupiranga,0,BR,1560211826,83,-5.13,-49.33,78.8,3.47
359,nantucket,40,US,1560211826,88,41.28,-70.1,66.2,11.41
360,ostuacan,85,MX,1560211827,86,17.42,-93.3,81.46,2.91
361,malinovskiy,0,RU,1560211827,92,54.15,34.53,60.22,1.32
362,sagauli,34,IN,1560211827,52,26.78,84.73,85.42,9.24
363,talara,68,PE,1560211827,90,-4.58,-81.27,69.4,17.96
364,west bay,75,GB,1560211827,93,50.71,-2.76,50.0,12.75
365,muros,75,ES,1560211828,87,42.77,-9.06,60.01,3.36
366,impfondo,43,CD,1560211828,63,1.62,18.06,75.34,1.1
367,tulle,90,FR,1560211828,87,45.27,1.77,52.0,2.24
368,mercedes,92,UY,1560211828,89,-33.25,-58.03,63.46,6.8
369,camabatela,13,AO,1560211828,48,-8.19,15.37,62.02,0.43
370,kosonsoy,90,UZ,1560211829,76,41.25,71.55,57.2,6.93
371,lubango,0,AO,1560211829,33,-14.92,13.49,65.44,4.14
372,guerrero negro,0,MX,1560211829,73,27.97,-114.04,70.66,11.1
373,jining,55,CN,1560211829,20,35.41,116.58,91.99,5.53
374,kysyl-syr,100,RU,1560211829,90,63.9,122.77,59.68,8.97
375,suixi,86,CN,1560211830,42,33.92,116.76,79.66,5.66
376,mahebourg,75,MU,1560211830,83,-20.41,57.7,73.4,16.11
377,samarai,58,PG,1560211830,73,-10.62,150.67,80.38,6.89
378,rakiv lis,0,UA,1560211830,92,51.62,24.92,65.08,5.59
379,alyangula,46,AU,1560211830,83,-13.85,136.42,77.0,3.36
380,port alberni,75,CA,1560211830,52,49.24,-124.81,75.99,8.05
381,vrangel,0,RU,1560211831,63,42.73,133.08,65.8,4.25
382,dongzhen,20,CN,1560211831,56,43.33,129.73,64.54,4.07
383,provideniya,0,RU,1560211831,67,64.42,-173.23,57.2,8.95
384,praia,0,BR,1560211644,68,-20.25,-43.81,66.2,5.82
385,mineros,40,BO,1560211831,78,-17.12,-63.23,77.0,12.75
386,sakassou,20,CI,1560211831,100,7.45,-5.29,75.2,6.93
387,nadym,97,RU,1560211832,52,65.53,72.51,39.16,10.49
388,ahuimanu,20,US,1560211832,62,21.44,-157.84,87.8,10.29
389,medea,20,DZ,1560211832,88,36.27,2.77,64.4,3.36
390,port augusta,0,AU,1560211619,57,-32.49,137.76,51.01,5.82
391,komsomolsk,0,RU,1560211832,100,57.03,40.38,51.8,2.24
392,tazovskiy,19,RU,1560211832,80,67.47,78.7,32.86,7.96
393,novyy urengoy,28,RU,1560211833,66,66.08,76.63,33.4,4.29
394,nalobikha,47,RU,1560211833,91,53.2,84.6,54.28,8.95
395,mpika,0,ZM,1560211833,81,-11.84,31.4,53.2,10.76
396,konin,18,PL,1560211833,75,52.23,18.25,73.0,9.37
397,la rioja,0,AR,1560211833,88,-29.41,-66.86,49.78,3.58
398,nago,40,IT,1560211834,44,45.88,10.89,80.6,12.75
399,rio tercero,9,AR,1560211834,74,-32.17,-64.11,51.4,4.99
400,ngorongoro,1,TZ,1560211834,81,-3.24,35.49,61.84,13.4
401,amuntai,83,ID,1560211697,93,-2.42,115.25,77.63,0.47
402,araouane,3,ML,1560211834,10,18.9,-3.53,99.1,6.04
403,pacific grove,1,US,1560211821,33,36.62,-121.92,102.99,18.34
404,awbari,0,LY,1560211834,12,26.59,12.77,85.42,4.23
405,verkhovazhye,0,RU,1560211835,64,60.75,42.05,53.38,7.27
406,ondjiva,0,AO,1560211835,38,-17.07,15.73,57.7,7.16
407,manakara,16,MG,1560211835,86,-22.14,48.01,64.54,3.67
408,tabango,100,PH,1560211835,74,11.31,124.37,85.06,8.23
409,ewa beach,1,US,1560211755,62,21.32,-158.01,87.8,13.87
410,praia da vitoria,0,PT,1560211835,72,38.73,-27.07,64.4,7.02
411,fort morgan,1,US,1560211836,16,40.25,-103.8,78.8,16.11
412,jiwani,0,PK,1560211836,71,25.05,61.74,88.66,4.94
413,antofagasta,40,CL,1560211783,76,-23.65,-70.4,57.2,9.17
414,benemerito de las americas,97,MX,1560211836,69,16.52,-90.64,82.72,5.39
415,catemaco,40,MX,1560211836,79,18.42,-95.11,89.01,17.22
416,massaguet,0,TD,1560211836,69,12.48,15.44,82.4,8.05
417,coquimbo,0,CL,1560211837,87,-29.95,-71.34,57.0,8.05
418,iqaluit,40,CA,1560211837,86,63.75,-68.52,37.4,13.87
419,salinas,1,US,1560211834,33,36.67,-121.66,102.99,18.34
420,raduzhnyy,42,RU,1560211837,57,62.1,77.47,39.7,3.8
421,minot,1,US,1560211837,23,48.23,-101.3,75.2,14.99
422,zinder,10,NE,1560211838,23,13.81,8.99,92.08,2.08
423,lavrentiya,100,RU,1560211838,45,65.58,-170.99,61.84,6.98
424,neuquen,0,AR,1560211838,61,-38.95,-68.06,46.4,2.17
425,pisco,90,PE,1560211838,30,-13.71,-76.2,71.6,5.82
426,samoded,34,RU,1560211838,74,63.61,40.52,55.18,7.34
427,namchi,78,IN,1560211838,83,27.17,88.37,58.96,4.14
428,kashan,66,IR,1560211574,23,33.99,51.44,82.4,11.41
429,vanavara,88,RU,1560211839,63,60.35,102.28,61.12,5.91
430,sao joao do piaui,37,BR,1560211839,60,-8.36,-42.25,78.04,5.61
431,cochrane,49,CL,1560211839,91,-47.25,-72.57,26.2,3.02
432,sao filipe,15,CV,1560211653,86,14.9,-24.5,73.85,20.13
433,mackay,75,CA,1560211839,48,53.65,-115.58,60.8,16.11
434,yumen,18,CN,1560211840,34,40.29,97.04,72.1,17.56
435,eyl,100,SO,1560211840,54,7.98,49.82,83.08,21.54
436,rundu,0,NA,1560211840,44,-17.91,19.77,57.2,2.24
437,butembo,73,CD,1560211840,91,0.12,29.29,63.64,2.95
438,marsaxlokk,0,MT,1560211840,53,35.84,14.54,78.01,1.12
439,kyzyl-suu,86,KG,1560211840,66,42.34,78.0,51.04,6.87
440,sibolga,78,ID,1560211841,78,1.74,98.78,82.36,5.86
441,camacha,75,PT,1560211841,93,33.08,-16.33,68.0,14.99
442,morehead,20,US,1560211841,60,38.18,-83.43,71.6,10.29
443,lasa,75,CY,1560211623,77,34.92,32.53,69.8,4.7
444,puerto carreno,75,CO,1560211761,88,6.19,-67.49,78.8,5.99
445,norman wells,40,CA,1560211841,27,65.28,-126.83,73.4,19.46
446,halle,20,BE,1560211842,82,50.74,4.24,59.0,11.41
447,kardla,0,EE,1560211842,77,58.44,26.57,59.0,2.24
448,konotop,50,UA,1560211842,85,51.24,33.21,65.62,6.49
449,brokopondo,20,SR,1560211842,94,5.06,-54.98,78.8,4.7
450,khuzhir,100,RU,1560211842,90,53.19,107.35,56.98,7.0
451,gagnoa,66,CI,1560211843,99,6.13,-5.95,71.2,2.57
452,megali vrisi,20,GR,1560211843,78,35.13,25.02,73.99,9.17
453,shitanjing,100,CN,1560211843,24,39.23,106.34,82.0,3.0
454,kailua,20,US,1560211843,62,21.39,-157.74,87.8,10.29
455,vardo,90,US,1560211843,77,39.62,-77.74,71.01,3.36
456,shingu,75,JP,1560211843,100,33.72,135.99,66.2,4.7
457,tilichiki,72,RU,1560211845,67,60.47,166.1,49.24,7.74
458,port keats,58,AU,1560211845,62,-14.25,129.55,82.36,4.32
459,san rafael,0,AR,1560211670,50,-34.61,-68.33,48.47,6.85
460,moron,96,VE,1560211846,83,10.49,-68.2,78.58,2.55
461,iskateley,59,RU,1560211846,84,67.68,53.15,39.52,6.71
462,te anau,96,NZ,1560211846,90,-45.41,167.72,45.46,4.03
463,amnat charoen,59,TH,1560211847,72,15.86,104.63,83.08,11.88
464,bay roberts,90,CA,1560211847,75,47.58,-53.28,45.0,21.92
465,emerald,3,AU,1560211592,93,-23.53,148.16,66.99,2.24
466,taldan,35,RU,1560211847,57,53.69,124.82,62.92,5.5
467,macau,100,BR,1560211802,78,-5.11,-36.64,78.76,16.17
468,eutin,82,DE,1560211847,83,54.14,10.62,61.0,1.99
469,huambo,0,AO,1560211848,57,-12.78,15.73,53.02,2.77
470,duldurga,100,RU,1560211848,61,50.67,113.59,67.24,4.72
471,haines junction,24,CA,1560211626,30,60.75,-137.51,61.43,7.87
472,mount gambier,0,AU,1560211848,81,-37.83,140.78,50.0,10.29
473,pathein,99,MM,1560211848,88,16.78,94.73,79.84,11.59
474,filadelfia,100,PY,1560211848,44,-22.35,-60.04,80.74,10.94
475,naron,20,ES,1560211849,82,43.52,-8.15,55.4,1.12
476,muroto,75,JP,1560211849,77,33.37,134.14,69.8,4.7
477,tessaoua,20,NE,1560211849,28,13.76,7.99,95.86,6.26
478,santa rosa,14,AR,1560211852,36,-36.62,-64.29,48.52,5.93
479,bom jesus da lapa,31,BR,1560211852,56,-13.25,-43.41,75.7,6.04
480,vicosa,31,BR,1560211772,98,-20.75,-42.88,64.99,4.83
481,katherine,37,AU,1560211852,61,-14.47,132.26,78.8,9.17
482,kenai,20,US,1560211852,40,60.55,-151.26,71.6,6.93
483,pitimbu,75,BR,1560211853,94,-7.47,-34.81,77.0,10.29
484,zaysan,8,KZ,1560211853,69,47.47,84.87,52.12,7.54
485,sanming,72,CN,1560211853,92,26.24,117.6,73.54,2.59
486,college,75,US,1560211853,37,64.86,-147.8,71.6,4.7
487,soyo,39,AO,1560211853,84,-6.13,12.37,75.7,5.19
488,kerema,100,PG,1560211854,75,-7.96,145.78,83.62,4.16
489,usinsk,62,RU,1560211854,90,66.0,57.56,45.28,2.82
490,tonantins,47,BR,1560211854,96,-2.86,-67.77,74.44,1.14
491,dossor,0,KZ,1560211854,23,47.52,52.98,77.32,4.7
492,algiers,1,US,1560211716,52,29.94,-90.04,93.2,11.41
493,neiafu,75,TO,1560211679,88,-18.65,-173.98,78.8,6.93
494,laguna,5,MX,1560211855,30,27.52,-110.01,93.2,8.05
495,ginir,50,ET,1560211855,93,7.14,40.71,54.82,8.14
496,kopervik,0,NO,1560211855,87,59.28,5.31,50.0,6.93
497,diapaga,46,BF,1560211855,55,12.07,1.79,86.86,9.78
498,la palma,100,CO,1560211856,81,5.36,-74.39,74.26,2.44
499,zhangye,100,CN,1560211856,69,38.94,100.46,56.44,2.64
500,lahat,56,ID,1560211774,79,-3.78,103.55,71.69,2.51
501,northam,75,GB,1560211856,93,51.04,-4.21,52.0,10.29
502,kesova gora,7,RU,1560211857,75,57.58,37.3,54.64,3.87
503,fort nelson,75,CA,1560211857,71,58.81,-122.69,57.2,8.05
504,manzhouli,63,CN,1560211857,48,49.6,117.43,69.22,10.38
505,moyale,100,ET,1560211857,76,3.52,39.05,70.12,6.69
506,pandan,100,PH,1560211857,76,11.72,122.09,84.16,11.05
507,liaoyang,0,CN,1560211858,88,41.27,123.17,66.2,6.71
508,kibala,0,TD,1560211858,78,9.11,18.35,82.4,2.73
509,tayu,20,JP,1560211858,88,35.06,136.67,80.01,5.82
510,malartic,90,CA,1560211858,100,48.14,-78.13,60.8,14.99
511,oromocto,20,CA,1560211858,33,45.85,-66.47,73.4,6.93
512,baykit,99,RU,1560211859,92,61.68,96.39,44.74,9.6
513,keuruu,0,FI,1560211859,71,62.26,24.71,54.0,6.93
514,srednebelaya,75,RU,1560211859,93,50.66,128.01,59.0,8.95
515,ushtobe,40,KZ,1560211859,56,45.25,77.98,62.92,1.45
516,yima,100,CN,1560211859,44,34.75,111.87,72.1,6.22
517,talnakh,75,RU,1560211640,92,69.49,88.39,30.2,13.42
518,stykkisholmur,0,IS,1560211860,75,65.08,-22.73,46.72,6.04
519,denpasar,40,ID,1560211853,83,-8.65,115.22,78.8,1.12
520,aylesbury,100,GB,1560211860,100,51.82,-0.81,53.01,16.11
521,itarantim,15,BR,1560211860,97,-15.65,-40.06,66.16,4.23
522,maragogi,47,BR,1560211860,92,-9.01,-35.22,74.26,4.76
523,avera,40,US,1560211860,78,33.19,-82.53,84.2,3.87
524,mantua,40,IT,1560211861,44,45.16,10.79,80.6,12.75
525,paris,0,FR,1560211754,81,48.86,2.35,54.0,1.12
526,doha,0,QA,1560211861,46,25.29,51.53,91.4,3.36
527,brae,100,GB,1560211861,93,60.4,-1.35,48.2,9.17
528,mayaky,36,UA,1560211861,71,47.44,29.56,67.24,8.81
529,freeport,75,BS,1560211625,74,26.54,-78.7,86.0,9.17
530,flers,0,FR,1560211862,93,48.75,-0.57,46.99,6.93
531,ust-maya,46,RU,1560211621,40,60.42,134.54,61.79,10.25
532,namibe,0,AO,1560211862,74,-15.19,12.15,72.82,2.39
533,mulege,1,MX,1560211862,47,26.88,-111.98,86.86,8.3
534,lamu,99,ID,1560211862,78,0.57,122.3,80.02,2.17
535,mezen,21,RU,1560211862,78,65.85,44.24,55.0,12.86
536,sri aman,100,MY,1560211863,94,1.24,111.46,75.2,0.94
537,sao geraldo do araguaia,6,BR,1560211863,78,-6.4,-48.55,76.06,2.73
538,muzhi,86,RU,1560211863,74,65.4,64.7,46.18,5.82
539,marystown,85,CA,1560211661,77,47.17,-55.16,47.57,6.51
540,kango,46,GA,1560211863,93,0.19,10.1,72.46,2.26
541,biak,100,ID,1560211864,96,-0.91,122.88,68.14,2.01
542,bundaberg,1,AU,1560211864,88,-24.87,152.35,77.0,6.93
543,yabelo,100,ET,1560211864,91,4.89,38.09,60.58,3.02
544,port blair,100,IN,1560211864,78,11.67,92.75,85.24,25.72
545,briancon,83,FR,1560211864,96,44.9,6.65,64.99,1.01
546,lancaster,75,US,1560211819,94,40.04,-76.31,75.0,2.39
547,rodeo,39,MX,1560211865,31,25.18,-104.56,84.34,14.07
548,bolobo,1,CD,1560211865,61,-2.17,16.23,76.96,3.98
549,nelson bay,0,AU,1560211865,72,-32.72,152.14,68.0,11.41
550,phayakkhaphum phisai,40,TH,1560211865,100,15.52,103.19,78.8,9.17
551,tomatlan,100,MX,1560211866,68,19.93,-105.25,82.54,7.02
552,hambantota,100,LK,1560211866,81,6.12,81.12,83.8,16.37
553,zeya,10,RU,1560211866,49,53.74,127.27,62.56,3.71
554,kloulklubed,75,PW,1560211866,83,7.04,134.26,82.4,5.82
555,puerto escondido,40,MX,1560211866,66,15.86,-97.07,87.8,6.93
556,weiser,1,US,1560211867,20,44.25,-116.97,82.99,3.6
557,narok,52,KE,1560211867,94,-1.09,35.87,53.02,5.84
558,aranos,0,NA,1560211867,31,-24.14,19.11,58.78,10.22
559,kaduqli,96,SD,1560211867,61,11.01,29.72,81.46,3.8
560,urengoy,3,RU,1560211867,65,65.96,78.37,34.12,5.01
561,lazaro cardenas,75,MX,1560211867,77,28.39,-105.62,69.8,9.17
562,atambua,85,ID,1560211868,66,-9.11,124.89,81.64,11.39
563,erenhot,77,CN,1560211868,25,43.65,111.97,77.5,14.25
564,hanyang,100,CN,1560211868,88,32.14,105.51,68.14,7.05
